ID,Question,QuestionText,Topic,ValidResponse,BeforeNumber,BeforeResponse,AfterNumber,AfterResponse,GROUP,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE
57,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,6,Slightly favor,37,"White, non-Hispanic",45-59,Some college,Democrat,Female,58
58,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,8,Strongly favor,21,"White, non-Hispanic",60+,BA or above,Democrat,Female,67
59,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,9,Very strongly favor,11,Hispanic,45-59,BA or above,Republican,Female,47
60,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,4,Slightly oppose,38,"White, non-Hispanic",60+,BA or above,Independent,Male,73
61,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,8,Strongly favor,37,"Asian, non-Hispanic",30-44,BA or above,Republican,Male,37
62,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,9,Hispanic,18-29,HS graduate or equivalent,Democrat,Female,27
63,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,8,Strongly favor,7,Moderately favor,7,"White, non-Hispanic",60+,Some college,Independent,Male,61
64,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,4,Slightly oppose,4,"White, non-Hispanic",60+,BA or above,Independent,Male,75
65,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,4,Slightly oppose,98,SKIPPED ON WEB/PAPI,5,"White, non-Hispanic",60+,Some college,Republican,Male,71
66,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,0,Extremely oppose,20,"White, non-Hispanic",60+,Some college,Republican,Female,77
67,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,6,Slightly favor,6,"White, non-Hispanic",45-59,BA or above,Independent,Male,59
68,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,18,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,56
69,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,5,In the middle,8,"White, non-Hispanic",60+,BA or above,Republican,Female,62
70,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,7,Moderately favor,9,"Asian, non-Hispanic",30-44,Some college,Democrat,Female,36
71,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,4,Slightly oppose,23,"White, non-Hispanic",60+,BA or above,Democrat,Female,62
72,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,7,Moderately favor,34,"White, non-Hispanic",60+,Some college,Democrat,Female,79
73,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,4,Slightly oppose,16,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,50
74,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,28,"White, non-Hispanic",30-44,BA or above,Republican,Female,33
75,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,10,Strongly favor,32,"White, non-Hispanic",60+,Some college,Democrat,Male,87
76,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,7,Moderately favor,33,"White, non-Hispanic",60+,BA or above,Independent,Male,69
77,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,5,In the middle,3,"White, non-Hispanic",45-59,BA or above,Republican,Male,45
78,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,5,In the middle,32,"Black, non-Hispanic",30-44,BA or above,Democrat,Male,44
79,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,4,Slightly oppose,4,"White, non-Hispanic",60+,Some college,Democrat,Female,64
80,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,8,Strongly favor,9,Very strongly favor,6,"White, non-Hispanic",45-59,Some college,Republican,Female,59
81,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,7,Moderately favor,22,"White, non-Hispanic",60+,BA or above,Independent,Female,65
82,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,8,Strongly favor,18,"Asian, non-Hispanic",18-29,BA or above,Democrat,Female,29
83,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,9,Very strongly favor,5,"White, non-Hispanic",60+,BA or above,Democrat,Male,79
84,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,3,Moderately oppose,2,"2+, non-Hispanic",18-29,No HS diploma,Independent,Male,27
85,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,10,"White, non-Hispanic",30-44,HS graduate or equivalent,Republican,Female,36
86,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,8,Strongly favor,5,In the middle,37,"White, non-Hispanic",60+,BA or above,Independent,Male,67
87,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,6,Slightly favor,34,"White, non-Hispanic",45-59,Some college,Republican,Female,49
88,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,7,Moderately favor,5,"White, non-Hispanic",60+,BA or above,Republican,Female,64
89,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,8,Strongly favor,29,"White, non-Hispanic",60+,HS graduate or equivalent,Republican,Male,61
90,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,6,Slightly favor,32,"White, non-Hispanic",45-59,BA or above,Democrat,Male,46
91,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,7,Moderately favor,32,"White, non-Hispanic",18-29,Some college,Independent,Male,23
92,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,5,In the middle,26,"Other, non-Hispanic",30-44,BA or above,Independent,Male,42
93,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,39,"White, non-Hispanic",18-29,Some college,Independent,Male,23
94,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,8,Strongly favor,3,"Black, non-Hispanic",30-44,Some college,Democrat,Female,32
95,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,7,Moderately favor,37,"White, non-Hispanic",45-59,HS graduate or equivalent,Democrat,Female,59
96,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,5,In the middle,9,"White, non-Hispanic",18-29,Some college,Republican,Male,28
97,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,5,In the middle,21,"Black, non-Hispanic",18-29,Some college,Democrat,Female,21
98,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,10,Strongly favor,3,"Black, non-Hispanic",30-44,No HS diploma,Independent,Female,44
99,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,3,Moderately oppose,3,"2+, non-Hispanic",45-59,Some college,Republican,Male,56
100,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,8,Strongly favor,27,"White, non-Hispanic",60+,Some college,Republican,Female,79
101,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,8,Strongly favor,38,"White, non-Hispanic",45-59,BA or above,Republican,Male,54
102,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,7,Moderately favor,40,"White, non-Hispanic",60+,BA or above,Democrat,Female,71
103,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,5,In the middle,29,"White, non-Hispanic",18-29,Some college,Democrat,Female,25
104,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,7,Moderately favor,11,"White, non-Hispanic",60+,BA or above,Democrat,Female,72
105,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,9,Very strongly favor,29,"White, non-Hispanic",60+,Some college,Independent,Male,64
106,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,7,Moderately favor,29,Hispanic,18-29,BA or above,Independent,Female,27
107,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,8,Strongly favor,30,"White, non-Hispanic",60+,Some college,Democrat,Female,66
108,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,5,In the middle,2,"White, non-Hispanic",30-44,BA or above,Democrat,Female,32
109,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,3,Moderately oppose,7,"White, non-Hispanic",45-59,Some college,Independent,Female,46
110,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,7,Moderately favor,15,"White, non-Hispanic",18-29,BA or above,Independent,Male,23
111,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,7,Moderately favor,8,"White, non-Hispanic",45-59,HS graduate or equivalent,Democrat,Female,57
112,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,6,Slightly favor,31,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,52
113,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,8,Strongly favor,10,"White, non-Hispanic",30-44,BA or above,Democrat,Female,36
114,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,8,Strongly favor,5,Hispanic,45-59,Some college,Democrat,Female,48
115,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,98,SKIPPED ON WEB/PAPI,4,Slightly oppose,39,Hispanic,45-59,No HS diploma,Republican,Female,56
116,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,5,In the middle,16,"White, non-Hispanic",60+,BA or above,Independent,Female,76
117,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,6,Slightly favor,18,"White, non-Hispanic",45-59,BA or above,Independent,Female,47
118,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,8,Strongly favor,3,"Black, non-Hispanic",45-59,HS graduate or equivalent,Democrat,Female,56
119,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,5,In the middle,9,"White, non-Hispanic",60+,BA or above,Independent,Female,74
120,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,8,Strongly favor,19,"White, non-Hispanic",60+,BA or above,Independent,Female,64
121,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,2,"White, non-Hispanic",60+,Some college,Independent,Female,66
122,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,8,Strongly favor,4,Slightly oppose,22,"White, non-Hispanic",30-44,BA or above,Republican,Male,36
123,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,4,Slightly oppose,19,"White, non-Hispanic",18-29,BA or above,Independent,Female,23
124,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,2,Strongly oppose,12,Hispanic,45-59,HS graduate or equivalent,Democrat,Male,51
125,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,8,Strongly favor,18,"White, non-Hispanic",30-44,BA or above,Republican,Male,36
126,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,5,In the middle,39,"Asian, non-Hispanic",30-44,No HS diploma,Independent,Female,31
127,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62
128,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,8,Strongly favor,19,"White, non-Hispanic",60+,BA or above,Republican,Male,69
129,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,3,Moderately oppose,9,"White, non-Hispanic",60+,Some college,Democrat,Female,68
130,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,7,Moderately favor,8,"White, non-Hispanic",60+,BA or above,Republican,Male,73
131,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,8,Strongly favor,37,"Black, non-Hispanic",30-44,Some college,Republican,Female,32
132,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,10,Strongly favor,98,SKIPPED ON WEB/PAPI,23,"Black, non-Hispanic",18-29,No HS diploma,Democrat,Male,25
133,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,3,Moderately oppose,38,"2+, non-Hispanic",18-29,BA or above,Republican,Male,23
134,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,77,No opinion,4,Slightly oppose,4,"2+, non-Hispanic",30-44,HS graduate or equivalent,Independent,Female,35
135,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,2,Strongly oppose,5,In the middle,29,"White, non-Hispanic",60+,BA or above,Democrat,Female,76
136,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,8,Strongly favor,7,Moderately favor,14,"White, non-Hispanic",45-59,BA or above,Republican,Male,47
137,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,8,Strongly favor,12,"Black, non-Hispanic",45-59,HS graduate or equivalent,Democrat,Female,50
138,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,5,In the middle,31,"White, non-Hispanic",45-59,Some college,Republican,Female,56
139,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,7,Moderately favor,21,"2+, non-Hispanic",18-29,BA or above,Independent,Female,25
140,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,6,Slightly favor,19,"White, non-Hispanic",60+,BA or above,Republican,Male,72
141,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,7,Moderately favor,16,"White, non-Hispanic",45-59,Some college,Democrat,Female,50
142,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,8,Strongly favor,7,Moderately favor,2,"White, non-Hispanic",60+,BA or above,Independent,Female,65
143,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,5,In the middle,3,"White, non-Hispanic",30-44,HS graduate or equivalent,Independent,Male,32
144,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,7,Moderately favor,8,Strongly favor,23,"White, non-Hispanic",60+,BA or above,Independent,Male,68
145,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,23,"White, non-Hispanic",30-44,Some college,Republican,Female,33
146,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,9,Very strongly favor,8,Strongly favor,5,"White, non-Hispanic",60+,BA or above,Independent,Male,64
147,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,6,Slightly favor,14,"White, non-Hispanic",45-59,Some college,Democrat,Female,51
148,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,0,Extremely oppose,35,"White, non-Hispanic",45-59,Some college,Independent,Male,59
149,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,2,Strongly oppose,12,"Black, non-Hispanic",60+,Some college,Democrat,Female,64
150,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,5,In the middle,77,No opinion,16,"Black, non-Hispanic",18-29,HS graduate or equivalent,Independent,Female,22
151,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,6,Slightly favor,25,"White, non-Hispanic",45-59,BA or above,Democrat,Male,54
152,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,6,Slightly favor,6,Slightly favor,19,"White, non-Hispanic",45-59,Some college,Republican,Male,51
153,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,98,SKIPPED ON WEB/PAPI,8,Strongly favor,32,"White, non-Hispanic",60+,Some college,Republican,Male,71
154,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,7,Moderately favor,20,"White, non-Hispanic",30-44,Some college,Independent,Female,33
155,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,3,Moderately oppose,4,Slightly oppose,21,"2+, non-Hispanic",30-44,Some college,Independent,Female,37
156,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,False,98,SKIPPED ON WEB/PAPI,2,Strongly oppose,14,"Black, non-Hispanic",45-59,BA or above,Democrat,Female,57
157,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,0,Extremely oppose,3,Moderately oppose,19,"White, non-Hispanic",60+,BA or above,Independent,Male,65
158,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,5,In the middle,27,"White, non-Hispanic",45-59,Some college,Republican,Female,47
159,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,5,In the middle,6,Slightly favor,10,"Black, non-Hispanic",18-29,Some college,Democrat,Female,27
