ID,Question,QuestionText,Topic,ValidResponse,BeforeNumber,BeforeResponse,AfterNumber,AfterResponse,GROUP,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,llm_avg,llm_avg_rounded,llm_avg_raw,Corrected_LLM,delta_human,delta_llm
508,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,Hispanic,60plus,HS_graduate_or_equivalent,Republican,Female,63,10,10,10,10,9,10,9,10,10,10,10.0,10.0,9.8,10.0,0,0.0
515,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,60plus,Some_college,Democrat,Female,72,10,10,10,10,9,10,10,10,10,10,10.0,10.0,9.9,10.0,0,0.0
0,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,7,Moderately favor,1,White_non_Hispanic,18_29,Some_college,Independent,Male,21,2,0,2,4,4,2,2,2,3,0,2.0,2.0,2.1,2.0,7,2.0
17,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,5,In the middle,1,White_non_Hispanic,45_59,BA_or_above,Republican,Male,49,2,0,2,4,4,0,2,4,3,2,2.0,2.0,2.3,3.0,5,3.0
127,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,5,In the middle,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,62,6,6,7,7,6,6,6,6,6,6,6.0,6.0,6.2,7.0,0,2.0
173,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,71,9,9,9,9,9,9,9,9,9,9,9.0,9.0,9.0,10.0,0,0.0
189,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,2,Strongly oppose,7,Moderately favor,1,White_non_Hispanic,60plus,Some_college,Independent,Male,68,1,1,3,4,4,3,1,3,3,3,3.0,3.0,2.6,4.0,5,2.0
244,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,6,Slightly favor,7,Moderately favor,1,White_non_Hispanic,18_29,Some_college,Republican,Female,23,7,7,7,7,7,7,7,7,7,7,7.0,7.0,7.0,7.0,1,1.0
249,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,5,In the middle,1,2+_non_Hispanic,60plus,BA_or_above,Republican,Female,62,6,6,7,6,6,6,6,6,6,6,6.0,6.0,6.1,6.0,0,1.0
280,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,5,In the middle,1,Black_non_Hispanic,45_59,Some_college,Democrat,Female,45,9,9,9,9,9,9,9,10,9,10,9.0,9.0,9.2,9.0,-5,-1.0
360,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,3,Moderately oppose,5,In the middle,1,Asian_non_Hispanic,18_29,BA_or_above,Independent,Male,24,4,4,2,4,4,4,2,4,4,4,4.0,4.0,3.6,4.0,2,1.0
446,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,45_59,BA_or_above,Democrat,Female,48,9,9,9,9,9,9,9,9,9,9,9.0,9.0,9.0,9.0,0,-1.0
493,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,7,Moderately favor,1,White_non_Hispanic,45_59,Some_college,Independent,Female,48,6,6,7,6,6,6,6,6,6,6,6.0,6.0,6.1,7.0,2,2.0
508,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,Hispanic,60plus,HS_graduate_or_equivalent,Republican,Female,63,6,6,7,6,6,6,6,6,6,6,6.0,6.0,6.1,8.0,5,3.0
515,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,8,Strongly favor,1,White_non_Hispanic,60plus,Some_college,Democrat,Female,72,9,9,9,9,9,9,9,10,10,9,9.0,9.0,9.2,10.0,-2,0.0
0,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,White_non_Hispanic,18_29,Some_college,Independent,Male,21,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,6.0,5,1.0
17,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,3,Moderately oppose,2,Strongly oppose,1,White_non_Hispanic,45_59,BA_or_above,Republican,Male,49,4,4,2,4,4,4,2,4,4,4,4.0,4.0,3.6,4.0,-1,1.0
127,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,6,Slightly favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,62,6,6,7,6,6,7,6,6,6,6,6.0,6.0,6.2,7.0,1,2.0
173,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,71,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,6.0,5,1.0
189,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,3,Moderately oppose,7,Moderately favor,1,White_non_Hispanic,60plus,Some_college,Independent,Male,68,4,4,4,4,4,4,2,4,4,4,4.0,4.0,3.8,5.0,4,2.0
244,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,7,Moderately favor,5,In the middle,1,White_non_Hispanic,18_29,Some_college,Republican,Female,23,8,8,8,8,8,8,8,8,8,8,8.0,8.0,8.0,8.0,-2,1.0
249,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,4,Slightly oppose,1,2+_non_Hispanic,60plus,BA_or_above,Republican,Female,62,6,6,7,7,6,7,6,6,6,7,6.0,6.0,6.4,8.0,-1,3.0
280,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,10,Strongly favor,1,Black_non_Hispanic,45_59,Some_college,Democrat,Female,45,8,8,9,9,9,9,9,9,9,9,9.0,9.0,8.8,9.0,2,1.0
360,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,8,Strongly favor,1,Asian_non_Hispanic,18_29,BA_or_above,Independent,Male,24,9,9,8,9,9,9,9,9,9,9,9.0,9.0,8.9,9.0,0,1.0
446,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,7,Moderately favor,5,In the middle,1,White_non_Hispanic,45_59,BA_or_above,Democrat,Female,48,8,8,8,8,8,8,8,8,8,8,8.0,8.0,8.0,8.0,-2,1.0
493,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,8,Strongly favor,1,White_non_Hispanic,45_59,Some_college,Independent,Female,48,6,6,6,6,6,7,6,6,6,6,6.0,6.0,6.1,7.0,3,2.0
508,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,5,In the middle,1,Hispanic,60plus,HS_graduate_or_equivalent,Republican,Female,63,9,9,9,9,9,9,9,9,9,9,9.0,9.0,9.0,9.0,-5,-1.0
515,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,60plus,Some_college,Democrat,Female,72,10,10,9,9,9,9,9,10,9,9,9.0,9.0,9.3,9.0,0,-1.0
0,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,10,Strongly favor,1,White_non_Hispanic,18_29,Some_college,Independent,Male,21,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,7.0,5,2.0
17,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,2,Strongly oppose,6,Slightly favor,1,White_non_Hispanic,45_59,BA_or_above,Republican,Male,49,1,1,2,1,1,2,2,1,1,1,1.0,1.0,1.3,2.0,4,0.0
127,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,4,Slightly oppose,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,62,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,7.0,-1,2.0
173,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,7,Moderately favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,71,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,7.0,2,2.0
189,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,3,Moderately oppose,5,In the middle,1,White_non_Hispanic,60plus,Some_college,Independent,Male,68,4,4,2,4,4,4,2,4,4,4,4.0,4.0,3.6,5.0,2,2.0
244,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,6,Slightly favor,1,White_non_Hispanic,18_29,Some_college,Republican,Female,23,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,7.0,1,2.0
249,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,0,Extremely oppose,4,Slightly oppose,1,2+_non_Hispanic,60plus,BA_or_above,Republican,Female,62,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.2,3.0,4,3.0
360,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,0,Extremely oppose,8,Strongly favor,1,Asian_non_Hispanic,18_29,BA_or_above,Independent,Male,24,0,0,2,0,0,0,2,0,0,0,0.0,0.0,0.4,-0.0,8,-0.0
446,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,7,Moderately favor,5,In the middle,1,White_non_Hispanic,45_59,BA_or_above,Democrat,Female,48,8,8,8,8,8,8,8,8,8,8,8.0,8.0,8.0,8.0,-2,1.0
493,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,6,Slightly favor,1,White_non_Hispanic,45_59,Some_college,Independent,Female,48,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,7.0,1,2.0
508,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,7,Moderately favor,10,Strongly favor,1,Hispanic,60plus,HS_graduate_or_equivalent,Republican,Female,63,8,8,8,8,8,8,8,8,8,8,8.0,8.0,8.0,9.0,3,2.0
515,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,9,Very strongly favor,1,White_non_Hispanic,60plus,Some_college,Democrat,Female,72,9,9,9,9,9,9,9,9,9,9,9.0,9.0,9.0,10.0,-1,0.0
0,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,0,Extremely oppose,1,White_non_Hispanic,18_29,Some_college,Independent,Male,21,6,6,3,4,4,6,6,4,6,4,5.0,5.0,4.9,4.0,-5,-1.0
17,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,45_59,BA_or_above,Republican,Male,49,10,10,9,10,10,10,9,10,10,10,10.0,10.0,9.8,9.0,0,-1.0
127,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,5,In the middle,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,62,8,8,8,8,9,8,9,8,8,8,8.0,8.0,8.2,7.0,-3,-1.0
173,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,8,Strongly favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,71,10,10,9,10,9,10,9,10,10,10,10.0,10.0,9.7,9.0,-2,-1.0
189,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,3,Moderately oppose,1,White_non_Hispanic,60plus,Some_college,Independent,Male,68,9,9,9,10,9,10,9,10,10,10,10.0,10.0,9.5,9.0,-7,-1.0
244,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,8,Strongly favor,1,White_non_Hispanic,18_29,Some_college,Republican,Female,23,9,9,9,10,9,10,9,10,10,10,10.0,10.0,9.5,9.0,-2,-1.0
249,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,9,Very strongly favor,1,2+_non_Hispanic,60plus,BA_or_above,Republican,Female,62,10,10,9,10,10,10,9,10,10,10,10.0,10.0,9.8,10.0,-1,0.0
280,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,Black_non_Hispanic,45_59,Some_college,Democrat,Female,45,10,9,9,9,9,10,9,10,10,10,10.0,10.0,9.5,9.0,0,-1.0
360,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,10,Strongly favor,1,Asian_non_Hispanic,18_29,BA_or_above,Independent,Male,24,8,8,8,8,9,8,9,8,8,8,8.0,8.0,8.2,9.0,2,1.0
446,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,45_59,BA_or_above,Democrat,Female,48,10,10,9,10,9,10,9,10,10,10,10.0,10.0,9.7,9.0,0,-1.0
493,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,White_non_Hispanic,45_59,Some_college,Independent,Female,48,6,6,3,6,4,6,6,6,6,4,5.0,5.0,5.3,5.0,5,0.0
508,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,10,Strongly favor,1,Hispanic,60plus,HS_graduate_or_equivalent,Republican,Female,63,8,8,8,8,9,8,9,8,8,8,8.0,8.0,8.2,8.0,2,0.0
515,Q2F,[Require employers to use the E-verify computer system to confirm workers' eligibility.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,2,Strongly oppose,1,White_non_Hispanic,60plus,Some_college,Democrat,Female,72,6,6,3,6,6,6,6,6,6,4,6.0,6.0,5.5,5.0,-3,0.0
0,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,7,Moderately favor,1,White_non_Hispanic,18_29,Some_college,Independent,Male,21,9,9,9,9,9,9,9,10,9,9,9.0,9.0,9.1,8.0,-3,-2.0
17,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,0,Extremely oppose,2,Strongly oppose,1,White_non_Hispanic,45_59,BA_or_above,Republican,Male,49,0,0,2,0,4,0,2,0,0,0,1.0,1.0,0.8,1.0,2,1.0
127,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,6,Slightly favor,7,Moderately favor,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,62,7,7,7,7,8,7,7,7,7,7,7.0,7.0,7.1,7.0,1,1.0
173,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,6,Slightly favor,1,Very strongly oppose,1,White_non_Hispanic,60plus,BA_or_above,Independent,Male,71,7,7,7,7,8,7,7,7,7,7,7.0,7.0,7.1,7.0,-5,1.0
189,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,2,Strongly oppose,1,White_non_Hispanic,60plus,Some_college,Independent,Male,68,9,9,9,9,9,9,9,10,9,9,9.0,9.0,9.1,9.0,-8,-1.0
244,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,7,Moderately favor,9,Very strongly favor,1,White_non_Hispanic,18_29,Some_college,Republican,Female,23,6,8,8,8,8,8,8,8,8,8,8.0,8.0,7.8,8.0,2,1.0
249,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,7,Moderately favor,5,In the middle,1,2+_non_Hispanic,60plus,BA_or_above,Republican,Female,62,8,8,8,8,8,8,8,8,8,8,8.0,8.0,8.0,9.0,-2,2.0
280,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,0,Extremely oppose,5,In the middle,1,Black_non_Hispanic,45_59,Some_college,Democrat,Female,45,0,0,0,0,4,2,2,0,0,0,1.0,1.0,0.8,-0.0,5,-0.0
360,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,8,Strongly favor,1,Asian_non_Hispanic,18_29,BA_or_above,Independent,Male,24,9,10,9,9,9,9,9,10,10,9,9.0,9.0,9.3,9.0,-2,-1.0
446,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,8,Strongly favor,10,Strongly favor,1,White_non_Hispanic,45_59,BA_or_above,Democrat,Female,48,9,8,9,9,9,9,9,9,9,9,9.0,9.0,8.9,8.0,2,0.0
493,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,8,Strongly favor,8,Strongly favor,1,White_non_Hispanic,45_59,Some_college,Independent,Female,48,9,9,9,9,9,9,9,9,9,9,9.0,9.0,9.0,9.0,0,1.0
508,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,8,Strongly favor,10,Strongly favor,1,Hispanic,60plus,HS_graduate_or_equivalent,Republican,Female,63,7,8,7,7,9,9,9,9,7,9,8.0,8.0,8.1,10.0,2,2.0
515,Q2G,"[First-time violators of immigration laws should only be expelled, not subject to criminal punishment.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,60plus,Some_college,Democrat,Female,72,9,10,10,10,9,9,9,10,10,9,10.0,10.0,9.5,10.0,0,0.0
0,Q2H,"[Continue DACA, the Deferred Action for Childhood Arrivals program, which protects people who were brought to the US as children when their parents entered the country illegally.] How strongly would you oppose or favor these?",Immigration,True,10,Strongly favor,10,Strongly favor,1,White_non_Hispanic,18_29,Some_college,Independent,Male,21,10,10,10,10,9,10,9,10,10,10,10.0,10.0,9.8,10.0,0,0.0
