ID,Question,QuestionText,Topic,ValidResponse,BeforeNumber,BeforeResponse,AfterNumber,AfterResponse,GROUP,RACE,AGEBRACKET,EDUCATION,PARTYBEFORE,GENDER,AGE,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,delta_observed,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_mean_llm,delta_stf_llm,delta_diff_0,delta_diff_1,delta_diff_2,delta_diff_3,delta_diff_4,delta_diff_5,delta_diff_6,delta_diff_7,delta_diff_8,delta_diff_9
515,Q1,How poorly or well would you say the system of democracy in the US works these days?,Democracy,True,4,Slightly oppose,8,Strongly favor,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,5,3,3,3,3,3,3,3,3,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8,0.6324555320336759,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,2,Strongly oppose,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
17,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,3,Moderately oppose,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,8,8,9,8,9,9,9,9,9,9,-7,-2,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1.3,0.48304589153964794,5,5,6,5,6,6,6,6,6,6
127,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,5,In the middle,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,6,7,7,7,7,7,6,7,7,7,-3,-2,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1.2,0.42163702135578396,1,2,2,2,2,2,1,2,2,2
173,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,2,Strongly oppose,1,Very strongly oppose,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,1,1,2,1,1,2,1,1,1,1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-0.8,0.42163702135578396,0,0,1,0,0,1,0,0,0,0
189,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,5,In the middle,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,6,6,4,4,4,6,6,4,6,4,0,1,1,-1,-1,-1,1,1,-1,1,-1,0.0,1.0540925533894598,1,1,-1,-1,-1,1,1,-1,1,-1
244,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,2,Strongly oppose,0,Extremely oppose,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,1,1,2,1,1,2,1,1,1,1,-2,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-0.8,0.42163702135578396,1,1,2,1,1,2,1,1,1,1
249,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,5,In the middle,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,9,8,9,9,9,9,9,9,9,9,-5,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1.1,0.31622776601683794,4,3,4,4,4,4,4,4,4,4
280,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,5,In the middle,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
345,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,8,Strongly favor,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,6,6,4,6,4,6,6,4,6,4,3,1,1,-1,1,-1,1,1,-1,1,-1,0.2,1.0327955589886446,-2,-2,-4,-2,-4,-2,-2,-4,-2,-4
360,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,8,Strongly favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,8,8,8,8,9,9,9,8,8,9,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-1,-1.6,0.5163977794943223,0,0,0,0,1,1,1,0,0,1
446,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,6,Slightly favor,5,In the middle,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,5,5,7,7,4,5,5,5,7,5,-1,-1,-1,1,1,-2,-1,-1,-1,1,-1,-0.5,1.0801234497346435,0,0,2,2,-1,0,0,0,2,0
493,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,2,Strongly oppose,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,6,6,6,6,6,6,6,6,6,6,-3,1,1,1,1,1,1,1,1,1,1,1.0,0.0,4,4,4,4,4,4,4,4,4,4
508,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,2,Strongly oppose,1,Very strongly oppose,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,1,1,2,1,1,1,1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-0.9,0.31622776601683794,0,0,1,0,0,0,0,0,0,0
515,Q2A,[Reduce the number of refuges allowed to resettle the US.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,0,Extremely oppose,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
0,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,10,10,10,9,9,10,9,10,10,10,0,0,0,0,-1,-1,0,-1,0,0,0,-0.3,0.48304589153964794,0,0,0,-1,-1,0,-1,0,0,0
17,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,9,Very strongly favor,8,Strongly favor,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,9,8,10,9,4,9,9,10,10,9,-1,0,-1,1,0,-5,0,0,1,1,0,-0.3,1.766981104093143,1,0,2,1,-4,1,1,2,2,1
127,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,7,Moderately favor,7,Moderately favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,8,8,8,8,8,8,8,8,8,8,0,1,1,1,1,1,1,1,1,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,1
173,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,10,10,10,10,9,10,10,10,10,10,0,0,0,0,0,-1,0,0,0,0,0,-0.1,0.31622776601683794,0,0,0,0,-1,0,0,0,0,0
189,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,6,6,7,6,6,6,6,6,6,8,5,1,1,2,1,1,1,1,1,1,3,1.3,0.6749485577105528,-4,-4,-3,-4,-4,-4,-4,-4,-4,-2
244,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,10,10,9,9,9,10,9,10,10,10,0,0,0,-1,-1,-1,0,-1,0,0,0,-0.4,0.5163977794943223,0,0,-1,-1,-1,0,-1,0,0,0
249,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,9,Very strongly favor,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,6,6,7,6,8,7,6,6,7,8,4,1,1,2,1,3,2,1,1,2,3,1.7,0.8232726023485646,-3,-3,-2,-3,-1,-2,-3,-3,-2,-1
280,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
345,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"Black, non-Hispanic",30-44,BA or above,Democrat,Female,37,8,8,8,8,8,8,8,8,8,8,5,3,3,3,3,3,3,3,3,3,3,3.0,0.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
360,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,6,6,6,6,6,6,6,6,6,8,5,1,1,1,1,1,1,1,1,1,3,1.2,0.6324555320336759,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2
446,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
493,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,9,Very strongly favor,10,Strongly favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,9,10,9,10,9,9,9,10,10,9,1,0,1,0,1,0,0,0,1,1,0,0.4,0.5163977794943223,-1,0,-1,0,-1,-1,-1,0,0,-1
508,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,10,10,10,10,9,10,9,10,10,10,0,0,0,0,0,-1,0,-1,0,0,0,-0.2,0.42163702135578396,0,0,0,0,-1,0,-1,0,0,0
515,Q2B,[Increase personnel to process asylum seekers' claims faster.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,10,10,10,10,9,10,10,10,10,10,0,0,0,0,0,-1,0,0,0,0,0,-0.1,0.31622776601683794,0,0,0,0,-1,0,0,0,0,0
0,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,7,Moderately favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,2,0,2,4,4,2,2,2,3,0,7,2,0,2,4,4,2,2,2,3,0,2.1,1.3703203194062976,-5,-7,-5,-3,-3,-5,-5,-5,-4,-7
17,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,0,Extremely oppose,5,In the middle,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,2,0,2,4,4,0,2,4,3,2,5,2,0,2,4,4,0,2,4,3,2,2.3,1.4944341180973264,-3,-5,-3,-1,-1,-5,-3,-1,-2,-3
127,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,5,In the middle,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,6,6,7,7,6,6,6,6,6,6,0,1,1,2,2,1,1,1,1,1,1,1.2,0.42163702135578396,1,1,2,2,1,1,1,1,1,1
173,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,9,9,9,9,9,9,9,9,9,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,2,Strongly oppose,7,Moderately favor,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,1,1,3,4,4,3,1,3,3,3,5,-1,-1,1,2,2,1,-1,1,1,1,0.6,1.1737877907772674,-6,-6,-4,-3,-3,-4,-6,-4,-4,-4
244,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,6,Slightly favor,7,Moderately favor,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0
249,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,5,In the middle,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,6,6,7,6,6,6,6,6,6,6,0,1,1,2,1,1,1,1,1,1,1,1.1,0.31622776601683794,1,1,2,1,1,1,1,1,1,1
280,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,5,In the middle,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,9,9,9,9,9,9,9,10,9,10,-5,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-0.8,0.4216370213557839,4,4,4,4,4,4,4,5,4,5
360,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,3,Moderately oppose,5,In the middle,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,4,4,2,4,4,4,2,4,4,4,2,1,1,-1,1,1,1,-1,1,1,1,0.6,0.8432740427115679,-1,-1,-3,-1,-1,-1,-3,-1,-1,-1
446,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,9,9,9,9,9,9,9,9,9,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
493,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,7,Moderately favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,6,6,7,6,6,6,6,6,6,6,2,1,1,2,1,1,1,1,1,1,1,1.1,0.31622776601683794,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
508,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,6,6,7,6,6,6,6,6,6,6,5,1,1,2,1,1,1,1,1,1,1,1.1,0.31622776601683794,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4
515,Q2C,[Provide aid to reduce poverty and violence in Central America.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,8,Strongly favor,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,9,9,9,9,9,9,9,10,10,9,-2,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-0.8,0.4216370213557839,1,1,1,1,1,1,1,2,2,1
0,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,6,6,6,6,6,6,6,6,6,6,5,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
17,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,3,Moderately oppose,2,Strongly oppose,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,4,4,2,4,4,4,2,4,4,4,-1,1,1,-1,1,1,1,-1,1,1,1,0.6,0.8432740427115679,2,2,0,2,2,2,0,2,2,2
127,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,6,Slightly favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,6,6,7,6,6,7,6,6,6,6,1,1,1,2,1,1,2,1,1,1,1,1.2,0.42163702135578396,0,0,1,0,0,1,0,0,0,0
173,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,10,Strongly favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,6,6,6,6,6,6,6,6,6,6,5,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
189,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,3,Moderately oppose,7,Moderately favor,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,4,4,4,4,4,4,2,4,4,4,4,1,1,1,1,1,1,-1,1,1,1,0.8,0.6324555320336759,-3,-3,-3,-3,-3,-3,-5,-3,-3,-3
244,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,7,Moderately favor,5,In the middle,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,8,8,8,8,8,8,8,8,8,8,-2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,3,3,3,3,3,3,3,3,3,3
249,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,4,Slightly oppose,1,"2+, non-Hispanic",60+,BA or above,Republican,Female,62,6,6,7,7,6,7,6,6,6,7,-1,1,1,2,2,1,2,1,1,1,2,1.4,0.5163977794943223,2,2,3,3,2,3,2,2,2,3
280,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,10,Strongly favor,1,"Black, non-Hispanic",45-59,Some college,Democrat,Female,45,8,8,9,9,9,9,9,9,9,9,2,0,0,1,1,1,1,1,1,1,1,0.8,0.42163702135578396,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1
360,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,8,Strongly favor,8,Strongly favor,1,"Asian, non-Hispanic",18-29,BA or above,Independent,Male,24,9,9,8,9,9,9,9,9,9,9,0,1,1,0,1,1,1,1,1,1,1,0.9,0.31622776601683794,1,1,0,1,1,1,1,1,1,1
446,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,7,Moderately favor,5,In the middle,1,"White, non-Hispanic",45-59,BA or above,Democrat,Female,48,8,8,8,8,8,8,8,8,8,8,-2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,3,3,3,3,3,3,3,3,3,3
493,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,5,In the middle,8,Strongly favor,1,"White, non-Hispanic",45-59,Some college,Independent,Female,48,6,6,6,6,6,7,6,6,6,6,3,1,1,1,1,1,2,1,1,1,1,1.1,0.31622776601683794,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2
508,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,5,In the middle,1,Hispanic,60+,HS graduate or equivalent,Republican,Female,63,9,9,9,9,9,9,9,9,9,9,-5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,0.0,4,4,4,4,4,4,4,4,4,4
515,Q2D,[Increase the number of visas for skilled workers to move to the US.] How strongly would you oppose or favor these?,Immigration,True,10,Strongly favor,10,Strongly favor,1,"White, non-Hispanic",60+,Some college,Democrat,Female,72,10,10,9,9,9,9,9,10,9,9,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-0.7,0.48304589153964794,0,0,-1,-1,-1,-1,-1,0,-1,-1
0,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,10,Strongly favor,1,"White, non-Hispanic",18-29,Some college,Independent,Male,21,6,6,6,6,6,6,6,6,6,6,5,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
17,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,2,Strongly oppose,6,Slightly favor,1,"White, non-Hispanic",45-59,BA or above,Republican,Male,49,1,1,2,1,1,2,2,1,1,1,4,-1,-1,0,-1,-1,0,0,-1,-1,-1,-0.7,0.48304589153964794,-5,-5,-4,-5,-5,-4,-4,-5,-5,-5
127,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,4,Slightly oppose,1,"White, non-Hispanic",60+,BA or above,Independent,Male,62,6,6,6,6,6,6,6,6,6,6,-1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,2,2,2,2,2,2,2,2,2,2
173,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,7,Moderately favor,1,"White, non-Hispanic",60+,BA or above,Independent,Male,71,6,6,6,6,6,6,6,6,6,6,2,1,1,1,1,1,1,1,1,1,1,1.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,3,Moderately oppose,5,In the middle,1,"White, non-Hispanic",60+,Some college,Independent,Male,68,4,4,2,4,4,4,2,4,4,4,2,1,1,-1,1,1,1,-1,1,1,1,0.6,0.8432740427115679,-1,-1,-3,-1,-1,-1,-3,-1,-1,-1
244,Q2E,"[Increase the number of visas for low-skilled workers to move to the US for industries that need them, like agriculture and service.] How strongly would you oppose or favor these?",Immigration,True,5,In the middle,6,Slightly favor,1,"White, non-Hispanic",18-29,Some college,Republican,Female,23,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0
