question,human_mean_shift,llm_mean_shift,ks_D_mean,ks_D_sd,ks_p_mean,ks_p_sd,wasserstein_mean,wasserstein_sd,js_mean,js_sd
Q4I,2.4588744588744587,5.38939393939394,0.4796536796536797,0.012702511472832214,1.2025955668408101e-45,3.329287208961115e-45,2.942207792207792,0.04597771485514394,0.40460288465291,0.022677507581805235
Q4J,1.6329896907216495,2.6404123711340204,0.1890721649484536,0.017976023520723382,5.548265408971457e-07,7.829314834632027e-07,1.0523711340206185,0.1479608086378357,0.234085398483937,0.017657278475121847
Q5A,3.451219512195122,3.8581300813008133,0.1695121951219512,0.033927872544496473,0.0004399005522869809,0.001009727368819308,0.6817073170731708,0.06915469329122821,0.24502927222395116,0.046542997286173005
Q5B,3.509433962264151,3.3392033542976938,0.11949685534591195,0.032948078921387236,0.03255724518304533,0.055927145306812504,0.5048218029350104,0.10208933289682794,0.28234664811919064,0.027484571198699907
Q5C,6.303534303534303,6.51995841995842,0.1501039501039501,0.0158004158004158,0.00029254652372927536,0.0006781541139985997,0.7469854469854471,0.04242437948237018,0.2736398155129632,0.024612377641568373
Q5D,6.932377049180328,6.969672131147541,0.10122950819672132,0.015557584341067465,0.028871226607133194,0.02936695502376789,0.40163934426229514,0.06924895593735984,0.22216323339629218,0.0336165658205463
Q5E,9.378167641325536,9.317738791423002,0.08401559454191032,0.03385813968653783,0.24213870451869615,0.32972113366426437,0.2074074074074074,0.05958793635900531,0.13744595863002934,0.03692160709148456
Q5F,7.153846153846154,7.638866396761133,0.15303643724696356,0.016989583205147606,5.789629815847549e-05,6.175162801572147e-05,0.5854251012145748,0.06609737975356514,0.2223926899318543,0.024402264398472012
Q5G,7.641078838174274,7.888381742738589,0.13485477178423239,0.03929879001676871,0.0043893271877088295,0.005409464057538377,0.46556016597510375,0.12517510677145544,0.21779161358179205,0.023553000644651854
Q5H,4.851063829787234,6.3176595744680855,0.31042553191489364,0.023567131510675344,3.0889362071634944e-17,5.740594955411314e-17,1.5053191489361704,0.2350100890700013,0.30587712005878454,0.02281515650859057
Q5I,9.00210970464135,8.598734177215189,0.19767932489451476,0.06143588872852493,0.00010414200254622275,0.0002350665116204617,0.509704641350211,0.08054099687890502,0.21748301821662147,0.030477073950756956
Q5J,8.404081632653062,8.481020408163268,0.10061224489795917,0.06623101442655105,0.24455370126434706,0.23837176079411193,0.2789795918367347,0.09251022884335401,0.1603852386261622,0.0391025160025785
Q6A,7.379052369077307,5.980798004987531,0.33790523690773067,0.026701930237367746,5.833993892297741e-14,1.7501753301177206e-13,1.4087281795511222,0.06811632938868996,0.3110574037699406,0.02640243698749346
Q6B,4.169934640522876,5.145098039215685,0.28017429193899784,0.034752016351355844,1.859266892340704e-08,5.5777986598779906e-08,1.1233115468409587,0.09782693066267781,0.3032742429903176,0.03062654555152788
Q6C,7.226781857451404,7.79805615550756,0.1980561555075594,0.019270936525869854,2.4869778695604674e-07,2.9481822884485456e-07,0.7591792656587473,0.08740898385308325,0.26103678059181445,0.025192501022714666
Q6D,8.033684210526316,7.983157894736842,0.13726315789473684,0.05843233651103217,0.012005428317879624,0.013200984843883686,0.38315789473684203,0.09350781738099408,0.21411940211911928,0.031644599169853155
Q6E,6.041125541125541,5.83939393939394,0.13073593073593076,0.013558839621961754,0.0025023495003671818,0.004219299622467911,0.5333333333333334,0.053975584226430326,0.2688615622568379,0.03954584056868695
Q6F,6.850710900473934,6.136255924170616,0.2509478672985782,0.06654043626182686,1.8300984830044295e-05,3.8489364704568835e-05,0.8931279620853081,0.21728824134142882,0.24657426868567917,0.034212238106432716
Q6G,7.186746987951807,7.172690763052209,0.16405622489959842,0.08199092962102772,0.008721183242287283,0.01365931216654038,0.5943775100401607,0.11906462216740503,0.22785086204937946,0.026454342413647573
Q6H,6.494929006085193,7.677079107505071,0.28032454361054765,0.01713485767297596,4.5383698229217945e-15,1.2530874593931995e-14,1.2158215010141986,0.06844572040611241,0.30485349626531855,0.024518694453998804
Q6I,4.15625,5.300208333333333,0.28666666666666674,0.02925878310676794,2.391921314643542e-10,7.175757053735709e-10,1.2297916666666668,0.09275888135076038,0.2791875915728478,0.019365484909342503
Q6J,7.111336032388664,7.361133603238867,0.155668016194332,0.03572688116619286,0.0003458844780696689,0.0005505899436505719,0.4769230769230769,0.10205400891021237,0.24237474470831605,0.038653855743259746
